DishName,Rating,ReviewCount,Submitter,MadeIt,Servings,Calories,PrepTime,CookTime,Totaltime,Ingredients,Directions
Lamb Merguez Sausage Patties,4.59999990463257,8,Chef John,12,4,268,10 m,10 m,1 d 20 m,"['1 teaspoon salt', '1/4 teaspoon fennel seeds', '1 teaspoon ground cumin', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground coriander', '1/4 teaspoon ground turmeric', '3 cloves garlic, peeled', '2 tablespoons harissa, or to taste (see Ingredient note)', '1 tablespoon tomato paste', '1 pound lean ground lamb', '1 tablespoon olive oil']","['Combine salt and fennel seeds in a mortar and pestle and pound until fine. Stir cumin, cinnamon, coriander, turmeric, and garlic cloves into the salt mixture and continue grinding to form a thick paste. Stir in harissa sauce and tomato paste until combined.', 'Combine ground lamb and the spice paste together with a fork in a large bowl. Cover and refrigerate overnight.', 'Form sausage into patties. Heat olive oil in a large skillet over medium-high heat. Cook patties until no longer pink inside, 5 to 8 minutes per side, depending on the size of the patties.', '']"
Pickled Ginger Asian Pear Coleslaw,4.59999990463257,4,Chef John,10,6,189,30 m,,30 m,"['1/2 cup mayonnaise', '1/3 cup seasoned rice vinegar', '1/2 teaspoon yellow miso paste, or to taste', '1 teaspoon chile-garlic sauce (such as Sriracha(R)), or to taste', '1/2 small head green cabbage, thinly sliced', '1 large Asian pear, thinly sliced', '1/3 cup finely sliced pickled ginger', '1/4 cup sliced green onions', '1 teaspoon toasted sesame seeds', 'salt to taste']","['Whisk together mayonnaise, rice vinegar, miso, and chile-garlic sauce in a large bowl.', 'Stir cabbage, pear, and ginger into the mayonnaise mixture until well coated. Stir in green onions and sesame seeds. Season with salt to taste.', '']"
Sweet Potato and Black Bean Chili,4.73487043380737,269,Chef John,614,4,600,20 m,1 h 10 m,1 h 30 m,"['2 pounds orange-fleshed sweet potatoes, peeled and cut into cubes', '1/2 teaspoon ground dried chipotle pepper', '1/2 teaspoon salt', '2 tablespoons olive oil, divided', '1 onion, diced', '4 cloves garlic, minced', '1 red bell pepper, diced', '1 jalapeno pepper, sliced', '2 tablespoons ancho chile powder, or to taste', '1 tablespoon ground cumin', '1/4 teaspoon dried oregano', '1 (28 ounce) can diced tomatoes', '1 cup water, or more as needed', '1 tablespoon cornmeal', '1 teaspoon salt, or to taste', '1 teaspoon white sugar', '1 teaspoon unsweetened cocoa powder', '2 (15 ounce) cans black beans, rinsed and drained', '1 pinch cayenne pepper, or to taste', '1/2 cup sour cream, for garnish (optional)', '1/4 cup chopped fresh cilantro, for garnish (optional)']","['Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper or a silicone baking mat.', 'Combine sweet potatoes, chipotle pepper, 1/2 teaspoon salt, and 1 tablespoon olive oil in a large bowl and toss to coat. Spread sweet potatoes on the prepared baking sheet in a single layer.', 'Roast sweet potatoes in the preheated oven until the outside is crunchy and inside is tender, 20 to 25 minutes. Allow to cool to room temperature.', 'Cook and stir remaining 1 tablespoon olive oil, onion, garlic, red bell pepper, jalapeno pepper, ancho chile powder, cumin, and dried oregano together in a large pot or Dutch oven over medium heat. Cook and stir until onion is softened, about 5 minutes.', 'Pour tomatoes and water into the onion mixture and bring to a simmer. Add cornmeal, 1 teaspoon salt, sugar, and cocoa powder. Bring to a simmer, stirring constantly, reduce heat to low and simmer for 30 minutes.', 'Stir black beans and cooled sweet potatoes into the onion-tomato mixture. Add more water if mixture is too thick. Simmer until heated through, about 15 minutes. Season with salt and cayenne pepper to taste. Serve topped with sour cream and cilantro.', '']"
Homemade Nacho Cheese Sauce,4,21,Chef John,67,20,132,15 m,15 m,30 m,"['1/4 cup melted butter', '3 tablespoons all-purpose flour', '1 teaspoon all-purpose flour', '3 cups cold milk', '1/2 teaspoon paprika', '1/4 teaspoon ground dried chipotle pepper', '1/4 teaspoon ancho chile powder', '1/4 teaspoon cayenne pepper', 'salt to taste', '1/2 pound sharp Cheddar cheese, shredded', '1/4 pound Monterey Jack cheese, shredded', '1/4 pound Muenster cheese, shredded']","['Melt butter in a large pot or Dutch oven over medium heat. Sprinkle in 3 tablespoons plus 1 teaspoon flour. Whisk constantly until the mixture is thick and all the flour is incorporated, 3 to 4 minutes.', 'Slowly pour cold milk into the butter mixture, whisking constantly until combined. Simmer, stirring occasionally, until slightly thickened, about 5 minutes. Stir in paprika, ground chipotle, ancho chile powder, cayenne pepper, and salt.', 'Reduce heat to low and add sharp Cheddar cheese, Monterey Jack cheese, and Muenster cheese, a handful at a time; stir until thoroughly melted. Season with salt to taste.', '']"
Fresh Apple Cake by MeMom,4.16666650772095,6,GA Hole In 1 GAL,17,12,745,20 m,1 h,2 h 20 m,"['3 cups all-purpose flour', '2 1/2 cups white sugar', '1 teaspoon baking soda', '1 tablespoon ground cinnamon', '1 teaspoon ground allspice', '1 teaspoon salt', '1/4 teaspoon ground cloves', '1/4 teaspoon ground nutmeg', '3 eggs', '1 cup vegetable oil', '1 cup buttermilk', '1 tablespoon pure vanilla extract', '4 cups sliced apples', '1 1/2 cups chopped pecans', '1/2 cup margarine', '1 cup brown sugar', '2 tablespoons all-purpose flour', '2 cups milk', '1 tablespoon pure vanilla extract']","['Preheat oven to 350 degrees F (175 degrees C). Grease and flour a fluted tube pan.', 'Mix 3 cups all-purpose flour, white sugar, baking soda, cinnamon, allspice, salt, cloves, and nutmeg together in a bowl.', 'Beat eggs in a separate large bowl; add vegetable oil, buttermilk, and 1 tablespoon vanilla. Beat until smooth. Pour egg mixture into flour mixture; stir together with a large spoon. Fold apples and pecans into batter. Pour batter into the prepared pan.', 'Bake in the preheated oven until a knife inserted in the center of the cake comes out clean, 60 to 75 minutes. Cool cake in pan.', 'Cook and stir margarine and brown sugar together in a saucepan over medium heat until sugar is dissolved, about 5 minutes. Add 2 tablespoons flour; stir constantly until combined. Stir in milk and 1 tablespoon vanilla. Cook and stir until thickened, 5 minutes.', 'Invert cake onto a plastic cake carrier or container; poke holes over entire cake using a knife. Pour hot icing over entire cake. Pour any remaining icing into the center of the cake. The icing will absorb into the cake overnight.', '']"
Simple Roasted Butternut Squash,4.73741006851196,632,MChele,2528,4,177,15 m,25 m,40 m,"['1 butternut squash - peeled, seeded, and cut into 1-inch cubes', '2 tablespoons olive oil', '2 cloves garlic, minced', 'salt and ground black pepper to taste']","['Preheat oven to 400 degrees F (200 degrees C).', 'Toss butternut squash with olive oil and garlic in a large bowl. Season with salt and black pepper. Arrange coated squash on a baking sheet.', 'Roast in the preheated oven until squash is tender and lightly browned, 25 to 30 minutes.', '']"
Baked Sweet Potato with Onions and Red Peppers,4.45454549789429,7,MOTTSBELA,13,1,578,15 m,30 m,45 m,"['1 large sweet potato', '1 teaspoon olive oil', '1/2 sweet onion, sliced', '1 red bell pepper, cut into strips', '1 roasted green chile pepper, chopped', '1/4 cup vegetarian ground beef', '1/4 cup plain yogurt', 'salt and ground black pepper to taste']","['Preheat oven to 350 degrees F (175 degrees C).', 'Place the sweet potato on a baking sheet and bake until tender, about 30 minutes.', 'Heat olive oil in a skillet over medium heat. Cook and stir onion, red bell pepper, and chili pepper until very tender, about 15 minutes.', 'Stir vegetarian ground beef into the skillet and cook until heated through, about 5 minutes.', 'Slice cooked sweet potato in half lengthwise and top with the skillet mixture. Place yogurt on top and season with salt and black pepper.', '']"
Mexican Corn Casserole ,4.68181800842285,18,Lori,89,12,286,10 m,25 m,35 m,"['1 (8 ounce) package cream cheese, cut into cubes', '1/2 cup butter', '1 (15 ounce) can black beans, drained', '1 (8 ounce) can diced italian-style tomatoes, drained', '1 (11 ounce) can Mexican-style corn with red and green peppers, drained', '1 (10 ounce) can white shoepeg corn, drained', '1 cup shredded Cheddar cheese, divided', '1/2 cup diced jalapeno peppers (optional)']","['Preheat oven to 400 degrees F (200 degrees C).', 'Place cream cheese and butter in a 8x8-inch casserole dish. Heat in microwave in 2-minute intervals until melted; stir until smooth.', 'Mix black beans, tomatoes, Mexican-style corn, and white corn into the cream cheese mixture.', 'Bake casserole in the preheated oven until bubbling, about 20 minutes. Stir 1/2 cup Cheddar cheese into casserole until incorporated; top with jalapeno peppers and remaining 1/2 cup Cheddar cheese.', 'Bake until cheese topping is melted and bubbling, 3 to 5 more minutes.', '']"
Garlic Butter Acorn Squash,4.34285736083984,30,Amanda,86,4,206,5 m,50 m,1 h,"['cooking spray', '2 acorn squash, halved and seeded', '1/4 cup butter, divided', '4 teaspoons minced garlic, divided', 'salt and ground black pepper to taste']","['Preheat oven to 400 degrees F (200 degrees C). Spray a 9x13-inch baking dish with cooking spray.', 'Place each squash half in the baking dish, cut side down.', 'Bake squash in the preheated oven for 30 minutes. Flip squash over and place 1 tablespoon butter and 1 teaspoon garlic into each squash. Season with salt and pepper.', 'Bake squash, cut-side up until tender, about 20 more minutes. Cool for about 5 minutes before serving.', '']"
Curried Stuffed Acorn Squash,4.57142877578735,5,JennyB,11,4,401,15 m,45 m,1 h,"['2 acorn squash, halved and seeded', '1 tablespoon olive oil, or as needed', '1/2 cup diced red bell pepper', '1/2 cup sliced daikon radish', '1/4 cup sliced leek', '1/4 cup diced celery', '1 jalapeno pepper, diced', '1 tablespoon minced garlic', '2 cups vegetable stock', '1 cup brown rice', '1 cup chopped collard greens', '1 tablespoon curry powder', '1 1/2 teaspoons red curry paste', '1/4 cup chopped walnuts', '1/2 cup crumbled feta cheese']","['Wrap each squash half with plastic wrap.', 'Place wrapped squash, cut side down, in microwave; cook on high until squash is tender, 12 to 15 minutes. Leave squash wrapped while preparing filling.', 'Heat olive oil in a large skillet over medium heat; cook and stir red bell pepper, radish, leek, celery, jalapeno pepper, and garlic in the hot oil until softened, about 10 minutes. Add vegetable stock and rice; stir to combine. Cover and simmer until broth is absorbed and rice is tender, about 45 minutes.', 'Sprinkle greens into rice mixture; cover and simmer until greens are wilted, about 5 minutes. Add curry powder, curry paste, and walnuts to rice mixture; stir to combine.', 'Unwrap squash and set halves, cut sides up, into 4 soup bowls. Spoon about 2 tablespoons feta cheese into each squash half. Add a large scoop of rice mixture atop feta layer. Top rice mixture layer with any leftover feta.', '']"
Acorn Squash Wonder Tacos/Chalupas,4.73333311080933,9,Wonder Becky,16,4,332,25 m,15 m,40 m,"['1 cup canola oil, or as needed', '1 large acorn squash - peeled, seeded, and grated', '2 tablespoons grated red onion', '1 serrano chile pepper, finely chopped', '3 tablespoons all-purpose flour', '1 egg', '2 teaspoons ground cumin', '1/2 teaspoon chili powder', '1/2 teaspoon paprika', '1/2 teaspoon salt, or more to taste', '1 pinch freshly ground black pepper', '1 pinch cayenne pepper', '4 corn tortillas', '1/4 cup shredded lettuce, or to taste', '1 avocado - peeled, pitted, and chopped', '1 tomato, chopped', '1/4 cup freshly grated cotija cheese']","['Heat canola oil in a deep fryer or heavy pot over medium heat.', 'Mix squash, onion, serrano pepper, flour, egg, cumin, chili powder, paprika, salt, black pepper, and cayenne pepper in a bowl.', 'Drop squash mixture by the spoonful, working in batches, in the hot oil; fry until golden brown, 5 to 7 minutes. Transfer squash fritters to a paper towel-lined plate to drain. Fry the corn tortillas in the hot oil until crisp, about 2 minutes per side.', 'Layer each tortilla with lettuce, squash fritters, avocado, tomato, and a tablespoon of cotija cheese.', '']"
Strachan Fresh Cranberry Orange Relish,4.69999980926514,8,Beth Stone Strachan,19,12,98,15 m,,1 h 15 m,"['1 (12 ounce) package cranberries', '1 navel orange, ends trimmed', '1/3 cup chopped walnuts', '3/4 cup white sugar', '1/2 teaspoon ground cinnamon', '1/4 teaspoon ground nutmeg', '2 tablespoons triple sec (orange-flavored liqueur)']","['Place cranberries in food processor; pulse until evenly chopped. Transfer to a mixing bowl.', 'Quarter the orange and place in the food processor with walnuts; pulse until finely chopped. Add to bowl with cranberries.', 'Mix sugar, cinnamon, nutmeg, and triple sec into cranberry-orange mixture until coated. Cover and refrigerate at least 1 hour before serving.', '']"
Easy Cranberry Orange Relish,4.48000001907349,20,TXGIRLSX3,212,8,76,10 m,,2 h 10 m,"['1 navel orange', '1 (12 ounce) package fresh cranberries', '1/2 cup white sugar', '1/8 teaspoon ground cinnamon']","['Grate 2 teaspoons of zest from orange; discard remaining peel and pith from orange. Divide orange into sections.', 'Place orange sections, orange zest, cranberries, sugar, and cinnamon in a food processor; pulse until finely chopped.', 'Transfer relish to a bowl and cover; refrigerate to allow flavors to blend, at least 2 hours.', '']"
Orange Cornish Hen for Two,4.38888883590698,28,misty,78,2,571,10 m,1 h,1 h 20 m,"['1 Cornish game hen, thawed and giblets removed', '1 teaspoon salt', '1/2 teaspoon ground black pepper', '1/2 cup frozen orange juice concentrate, thawed', '1/4 cup honey', '1/4 cup ketchup']","['Preheat oven to 400 degrees F (200 degrees C).', 'Season hen with salt and black pepper; place in a roasting pan.', 'Roast hen in the preheated oven until partially cooked, 25 to 30 minutes.', 'Mix orange juice concentrate, honey, and ketchup in a saucepan; bring to a boil and cook until syrup consistency, 5 to 10 minutes.', 'Baste hen with orange glaze; continue roasting, basting every ten minutes, until an instant-read thermometer inserted into the thickest part of the thigh, near the bone reads 180 degrees F (82 degrees C), 35 to 40 more minutes. Let rest for 10 minutes before serving.', '']"
2-Layer Rum Pecan Pie with Cheesecake,4.19999980926514,5,starmaster25,12,8,682,20 m,45 m,1 h 5 m,"['1 recipe pastry for a 9-inch double crust pie', '1 tablespoon water, or as needed', '1 (8 ounce) package cream cheese', '1/2 cup white sugar', '1 egg', '1 teaspoon vanilla extract', '1/4 teaspoon salt', '1 cup pecans', '1 cup corn syrup', '2 tablespoons butter, melted', '1/4 cup white sugar', '3 eggs', '2 teaspoons rum extract']","['Preheat oven to 350 degrees F (175 degrees C).', 'Unroll 1 pie crust on a work surface; brush with water. Place second pie crust atop the first pie crust; press gently together. Place the double crust in a 9-inch pie pan.', 'Beat cream cheese, 1/2 cup sugar, 1 egg, vanilla, and salt together in a bowl until smooth and creamy. Pour into pie crust; sprinkle cheesecake filling with pecans.', 'Mix corn syrup, butter, 1/4 cup sugar, 3 eggs, and rum extract together in a bowl until smooth; pour over pecan layer.', 'Bake in the preheated oven until a knife inserted in the center of the pie comes out clean, 45 to 50 minutes.', '']"
Pecan Pie Pancake Syrup,4,3,RonSmith,15,8,208,10 m,10 m,20 m,"['1/2 cup water', '1/2 cup white sugar', '1/2 cup brown sugar', '1/4 teaspoon salt', '3 tablespoons butter', '2 eggs', '1 tablespoon vanilla extract', '1/2 cup chopped pecans']","['Heat water in a saucepan over medium-low heat; cook and stir white sugar into hot water until dissolved, about 5 minutes. Stir brown sugar and salt into the sugar mixture until dissolved; stir in butter.', 'Whisk eggs and vanilla together in a bowl until smooth; stir 2 to 3 tablespoons hot sugar mixture into eggs, 1 tablespoon at a time, to slowly bring eggs up to temperature without cooking them. Slowly stir egg mixture into saucepan of sugar mixture. Fold in pecans.', 'Increase temperature to medium heat; cook and stir mixture until thickened and bubbling, about 5 minutes. Reduce heat to low before serving.', '']"
Classic Herb Stuffing,4.1875,10,McCormick Spice,34,18,615,15 m,40 m,55 m,"['1 cup butter', '2 cups chopped celery', '1 cup chopped onion', '2 teaspoons McCormick(R) Thyme Leaves', '1 1/2 teaspoons McCormick(R) Poultry Seasoning', '1 teaspoon seasoned salt', '1/2 teaspoon McCormick(R) Black Pepper, Ground', '12 cups dry unseasoned bread cubes', '4 cups chicken broth']","['Preheat oven to 375 degrees F. Melt butter in large skillet on medium heat. Add celery and onion; cook and stir 5 minutes. Stir in thyme, poultry seasoning, seasoned salt and pepper.', 'Place bread cubes in large bowl. Add celery mixture and broth; toss gently until well mixed. Spoon into lightly greased 13x9-inch baking dish.', 'Bake 35 minutes or until heated through and lightly browned.', '']"
Roasted Sweet Potatoes with Cinnamon Pecan Crunch,4.87096786499023,22,McCormick(R) Holiday,44,8,476,15 m,1 h,1 h 15 m,"['3/4 cup firmly packed brown sugar, divided', '2 tablespoons orange juice', '2 teaspoons McCormick(R) Pure Vanilla Extract', '1 1/2 teaspoons McCormick(R) Cinnamon, Ground, divided', '1 1/2 teaspoons McCormick(R) Ginger, Ground, divided', '1/2 teaspoon salt', '3 pounds sweet potatoes, peeled and cut in 1-inch chunks', '1 cup dried cranberries', '6 tablespoons butter, cut up, divided', '1/2 cup flour', '1 cup chopped pecans']","['Preheat oven to 400 degrees F. Mix 1/4 cup of the brown sugar, orange juice, vanilla, 1/2 teaspoon each of the cinnamon and ginger, and salt in large bowl. Add sweet potatoes; toss to coat well. Spoon into 13x9-inch baking dish. Sprinkle evenly with cranberries. Dot with 2 tablespoons of the butter. Cover with foil. Bake 30 minutes.', 'Meanwhile, mix flour, remaining 1/2 cup brown sugar and remaining 1 teaspoon each cinnamon and ginger in medium bowl. Cut in remaining 4 tablespoons butter with a fork until coarse crumbs form. Stir in pecans. Remove sweet potatoes from oven and stir gently. Sprinkle evenly with pecan topping.', 'Bake, uncovered, 25 to 30 minutes longer or until sweet potatoes are tender and topping is lightly browned.', '']"
Leslie's Lushie Slushie,5,1,Leslie du Mont,4,16,260,10 m,5 m,1 d 15 m,"['9 cups water', '2 cups white sugar', '5 tea bags', '1 (6 ounce) can frozen lemonade concentrate, thawed', '1 (6 ounce) can frozen orange juice concentrate, thawed', '2 cups bourbon', '1 (2 liter) bottle ginger ale, or as needed', '16 sprigs mint (optional)']","['Bring water to a low boil in a large saucepan. Stir sugar into water to dissolve. Add tea bags to water; set aside off heat to steep for 5 minutes.', 'Mix tea mixture, lemonade concentrate, orange juice concentrate, and bourbon together in a large container.', 'Put mixture in the freezer, breaking chunks into smaller pieces every few hours, until consistency is slushy but kind of flaky, melty frozen, about 24 hours.', 'Scoop a few of large heaping spoonfuls of the slush into a glass; then top off with ginger ale and garnish with mint to serve.', '']"
Strawberry Lemonade Slushie,4.75,3,Clsm,21,4,81,5 m,,5 m,"['1/2 cup water', '1/3 cup dry lemonade-flavored drink mix', '3 cups ice cubes', '1 cup strawberries']","['Stir water and lemonade mix together in a cup until the mix dissolves.', 'Combine ice cubes and strawberries in a blender. Pour lemonade mixture into the blender. Blend on high for 10 seconds. Stop blender and stir with a spoon. Blend again until smooth, about 5 seconds more.', '']"
Apricot Slush,5,1,T.Margolis,4,16,300,10 m,,4 h 10 m,"['1 1/2 quarts pineapple juice', '1 quart apricot nectar', '13 fluid ounces vodka', '13 fluid ounces apricot brandy', '1 (6 ounce) can frozen orange juice concentrate, thawed', '1 (6 ounce) can frozen lemonade concentrate, thawed', '1 (2 liter) bottle lemon-lime soda (such as 7-Up(R)), or to taste']","['Mix pineapple juice, apricot nectar, vodka, apricot brandy, orange juice concentrate, and lemonade concentrate in a large pitcher or bowl.', 'Store in freezer, stirring periodically, until a slushy consistency is achieved, 4 to 6 hours.', 'Ladle slush into large glasses; top with lemon-lime soda to serve.', '']"
Inka Mama's Aji,5,3,doch83,12,8,194,10 m,,10 m,"['1 head iceberg lettuce, chopped', '3 romaine lettuce leaves', '5 cloves garlic', '7 serrano peppers', '3/4 cup olive oil, or as needed', 'salt and ground black pepper to taste']","['Combine iceberg lettuce, romaine lettuce, garlic, serrano peppers, and olive oil in the blender; blend until smooth. Season with salt and black pepper.', '']"
The Raji,4,1,callistobug,2,1,212,5 m,,5 m,"['1 (1.5 fluid ounce) jigger lemon-flavored rum, or to taste', '1 splash lime juice', '1 pinch white sugar', '1 cup lemon-lime soda (such as Sprite(R)), or as needed', '1 slice lime']","['Stir rum, lime juice, and sugar together in a glass tumbler to dissolve the sugar. Fill glass with lemon-lime soda. Garnish with lime slice.', '']"
Barbecue Pork Tenderloin,0,0,Publix Apron's Simple Meals,0,4,216,35 m,,55 m,"['3 tablespoons curry powder', '1 tablespoon onion powder', '1 tablespoon brown sugar', '1 (16 ounce) pork tenderloin', '1/2 teaspoon kosher salt', '1/4 teaspoon pepper', 'Cooking spray', '1/2 cup Carolina-style barbecue sauce']","['Preheat grill pan on medium-high (or preheat grill). Combine curry powder, onion powder, brown sugar. Season pork with salt and pepper; then coat with spice mixture. Coat pork with cooking spray (wash hands). Place pork in grill pan (or on grill); grill 2-3 minutes on each side.', 'Reduce heat to medium (or move pork to coolest part of grill); cover and grill 8-10 more minutes, turning occasionally, or until 160 degrees F (for medium). (Sauce may be brushed on pork during last 5 minutes of grill time or used for dipping.) Let pork stand 5 minutes. Slice pork and serve.', '']"
Chipotle Ranch Ribs,0,0,Publix Apron's Simple Meals,0,6,569,,,35 m,"['3 pounds pork baby-back ribs', '2 tablespoons barbecue seasoning', '1 (24x12-inch) sheet aluminum foil', '1 cup bacon/onion ranch salad dressing', '2 tablespoons chipotle hot sauce']","['Preheat oven to 450 degrees F. Coat ribs with barbecue seasoning; place in center of foil (wash hands). Combine ranch dressing and hot sauce; pour over ribs. Bring up foil sides; then double-fold top and ends to seal the packet.', 'Place on baking sheet; bake 25 minutes. Serve.', '']"
Easy Vegetarian Spinach Lasagna,4.47222232818604,60,MOTTSBELA,201,6,305,20 m,1 h 5 m,1 h 30 m,"['cooking spray', '9 lasagna noodles', '1 bunch fresh spinach', '1 (8 ounce) container ricotta cheese', '1/2 cup shredded mozzarella cheese', '1 egg, lightly beaten', '1 pinch ground nutmeg', '1 pinch dried basil', 'salt and ground black pepper to taste', '1 cup pasta sauce', '1/2 cup shredded mozzarella cheese', '1/4 cup grated Parmesan cheese']","['Preheat oven to 400 degrees F (200 degrees C). Spray a 1 1/2-quart casserole dish with cooking spray.', 'Bring a large pot of lightly salted water to a boil. Cook lasagna in the boiling water, stirring occasionally, until cooked through but firm to the bite, about 8 minutes. Drain.', 'Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add spinach, cover, and steam until tender, 2 to 6 minutes. Drain spinach.', 'Mix spinach, ricotta cheese, 1/2 cup mozzarella cheese, egg, nutmeg, basil, salt, and black pepper in a bowl until thoroughly combined.', 'Spread 1/4 cup pasta sauce on the bottom of the prepared casserole dish; top with 3 lasagna noodles, 1/2 of the ricotta mixture, and 1/4 cup pasta sauce. Repeat layers of 3 more noodles, 1/2 cup ricotta mixture, and 1/4 cup pasta sauce. End with remaining 3 lasagna noodles and 1/4 cup pasta sauce. Sprinkle 1/2 cup mozzarella cheese and Parmesan cheese on top. Cover casserole with aluminum foil.', 'Bake in the preheated oven for 25 minutes. Uncover casserole and continue baking until lasagna is bubbling and lightly browned, about 25 more minutes. Let lasagna stand 5 minutes before serving.', '']"
Habanero Jell-O(R) Surprise,0,0,Ritabegonia,0,12,144,15 m,,4 h 15 m,"['1 (3 ounce) package cherry-flavored gelatin (such as JELL-O(R))', '2 (3 ounce) packages orange-flavored gelatin (such as Jell-O(R))', '3 cups boiling water', '3 cups chilled sparkling water', '2 (3 ounce) packages lime-flavored gelatin mix (such as Jell-O(R))', '2 cups boiling water', '2 cups chilled sparkling water', '1/4 cup prepared habanero pepper jelly', '3 habanero peppers, or to taste - divided']","['Whisk cherry gelatin, orange gelatin, and 3 cups boiling water in a bowl until gelatin is completely dissolved. Stir 3 cups cold sparkling water into gelatin mix and chill in refrigerator until partially thickened, about 45 minutes.', 'Meanwhile, whisk lime gelatin with 2 cups boiling in a bowl until gelatin is dissolved. Mix 2 cups cold sparkling water into lime gelatin. Let thicken slightly, about 30 minutes.', 'Stir habanero pepper jelly into the thickened cherry gelatin mixture, transfer to a large trifle bowl, and chill until set, about 2 more hours.', 'Halve, seed, and finely chop 1 habanero pepper, or to taste, wearing gloves. Stir chopped habanero pepper into lime gelatin mix, saving a few pieces for garnish. Spoon lime gelatin mixture over cherry gelatin to create a separate layer. Let the gelatin dessert chill until firmly set, about 2 more hours. Garnish with remaining habanero peppers to serve.', '']"
Alfredo Chicken,4.20833349227905,16,Parker's Kitchen,96,6,498,10 m,20 m,30 m,"['6 ounces spiral pasta', '2 pounds chicken meat, cut into strips', '1 (.7 ounce) package Italian dressing mix', '1 tablespoon garlic powder', '1 (16 ounce) jar prepared Alfredo sauce']","['Bring a large pot of lightly salted water to a boil; cook pasta at a boil until tender yet firm to the bite, about 8 minutes; drain.', 'Sprinkle chicken with Italian dressing mix and garlic powder.', 'Pan-fry chicken in a nonstick skillet over medium heat, cooking in batches if necessary, until the juices run clear and chicken meat is no longer pink in the middle, about 10 minutes per batch. Turn chicken pieces over after about 5 minutes of cooking.', 'Transfer chicken to a serving bowl and toss with cooked pasta. Pour Alfredo sauce over chicken and pasta, mix thoroughly, and serve.', '']"
Signature Pumpkin Pie,4.64516115188599,24,McCormick Spice,88,8,310,5 m,55 m,1 h,"['1 frozen unbaked (9-inch) deep dish pie crust', '1 (15 ounce) can pumpkin', '1 (14 ounce) can sweetened condensed milk', '2 eggs', '1 tablespoon McCormick(R) Pumpkin Pie Spice', 'Vanilla Whipped Cream (recipe follows) (optional)']","['Preheat oven to 425 degrees F. Place pie crust on large foil-lined baking sheet.', 'Mix pumpkin, milk, eggs and pumpkin pie spice in large bowl until smooth. Pour into crust.', 'Bake 15 minutes. Reduce oven temperature to 350 degrees F. Bake 40 minutes longer or until knife inserted 1 inch from crust comes out clean. Cool completely on wire rack. Serve with Vanilla Whipped Cream, if desired.', '']"
Creamy German Coleslaw,4.69565200805664,37,Catherine S,86,6,183,10 m,,2 h 10 m,"['1/2 head cabbage, thinly sliced', '3 tablespoons white sugar', '3 tablespoons cider vinegar', '1/2 teaspoon celery seed', '1/2 teaspoon salt', '1/2 cup mayonnaise, or more to taste']","['Place cabbage in a large bowl.', 'Mix sugar, vinegar, celery seed, and salt together in a separate bowl. Stir mayonnaise into sugar-vinegar mixture until dressing is smooth and creamy. Pour dressing over cabbage; toss to coat.', 'Marinate coleslaw in refrigerator for 2 to 3 hours; stir well before serving.', '']"
Raspberry Linzer Cookies,4.40000009536743,5,Sarah,6,32,82,20 m,10 m,2 h,"['2 cups all-purpose flour', '1/2 teaspoon baking soda', '1/4 teaspoon salt', '1/4 teaspoon ground cinnamon', '3/4 cup white sugar', '1/2 cup butter at room temperature', '1/4 cup egg substitute', '1 teaspoon vanilla extract', '1/4 cup seedless raspberry jam', ""1 tablespoon confectioners' sugar, or as needed""]","['Mix flour, baking soda, salt, and cinnamon together in a bowl using a whisk.', 'Beat white sugar and butter together with an electric mixer on high in a bowl until light and fluffy; add egg substitute and vanilla extract. Beat until well blended.', 'Gradually beat flour mixture into sugar-butter mixture until dough is soft. Divide dough into 2 equal balls and wrap each portion in plastic wrap. Chill dough in refrigerator for at least 1 hour.', 'Preheat oven to 375 degrees F (190 degrees C). Line two baking sheets with parchment paper.', 'Roll 1 dough ball into a 1/8-inch thick rectangle on a lightly floured surface; cut into 32 cookies using a square, star, or circular cookie cutter. Repeat with the second dough ball. Cut out the center of 32 cookies using a 1-inch square cookie cutter. Arrange all 64 cookies on the prepared baking sheets about 1 inch apart.', 'Bake cookies in the preheated oven until edges are lightly browned, about 10 minutes. Cool on pans for 5 minutes before transferring cookies to wire racks to cool completely.', ""Spread about 1/2 teaspoon raspberry jam into the center of each whole cookie. Sprinkle the cut-out cookies with confectioners' sugar; place 1 cut-out cookie atop each raspberry jam-topped cookie."", '']"
