DishName,Rating,ReviewCount,Submitter,MadeIt,Servings,Calories,PrepTime,CookTime,Totaltime,Ingredients,Directions,,,,,,,,,,,
SARALEE'S Beet Salad,4.5,5,SARALEE,11,4,35,10 m,45 m,1 h 25 m,"['2 red beets', '1 onion, chopped', 'salt and ground black pepper to taste', '1 tablespoon distilled white vinegar', '1 1/2 teaspoons white sugar']","['Place the beets into a saucepan, cover with water, and bring to a boil. Reduce heat to medium-low, and gently boil the beets until tender, about 45 minutes. Remove from heat, allow the beets to cool, and peel. Shred the beets using a box grater.', 'In a salad bowl, mix the onion, salt, black pepper, vinegar, and sugar together lightly until thoroughly combined and the sugar has dissolved; mix in beets, chill,  and serve.', '']",,,,,,,,,,,
Tasty Roasted Beets,4.569444656,57,cookingtwist,146,4,96,10 m,10 m,20 m,"['4 beets, peeled and cut into 3/4-inch cubes', '2 tablespoons olive oil', '1 teaspoon dried thyme leaves (optional)', '1 pinch sea salt, or to taste']","['Preheat oven to 425 degrees F (220 degrees C). Line a baking sheet with parchment paper.', ""Toss the beets, olive oil, and thyme in a bowl until beets are coated, and arrange pieces of beet on baking sheet so that they don't touch. Sprinkle the beets with sea salt."", 'Roast in the preheated oven until the beets are tender, 10 to 20 minutes. A fork inserted into a beet cube should come out easily.', '']",,,,,,,,,,,
Lawry'sÂ® Grilled Mediterranean Chicken,4.555555344,7,LAWRY'SÂ®,7,4,205,5 m,14 m,19 m,"['3 tablespoons balsamic vinegar', '1 tablespoon olive oil', ""1 1/2 teaspoons Lawry'sÂ® Seasoned Salt"", '1 teaspoon dried rosemary leaves, crushed', '2 medium tomatoes, cut into 3/4-inch slices', '4 (5 ounce) boneless skinless chicken breast halves', '1 lemon, cut into 1/4-inch thick slices (optional)']","['Mix vinegar and oil until well blended. Mix seasoned salt and rosemary. Brush tomato slices and chicken with vinegar mixture then sprinkle with seasoned salt mixture.', 'Grill chicken over medium heat 6 to 7 minutes per side or until cooked through. Grill tomato slices 2 minutes per side. If desired, grill lemon slices 30 seconds per side. Serve chicken topped with tomato slices. Garnish with lemon slices.', '']",,,,,,,,,,,
Creamy Ham and Cheese Casserole,4.166666508,9,Kraft,19,6,362,15 m,35 m,50 m,"['2/3 cup KRAFT Mayo with Olive Oil & Cracked Pepper Reduced Fat Mayonnaise', '1/3 cup milk', '2 cups chopped cooked ham', '2 cups croutons', '1 1/2 cups KRAFT Shredded Three Cheese with a Touch of PHILADELPHIA', '1 tomato, chopped', '1/4 cup chopped red onions ']","['Heat oven to 350 degrees F.', 'Combine ingredients.', 'Spoon into 2-qt. casserole.', 'Bake 35 min. or until heated through.', '']",,,,,,,,,,,
Rustic Three Cheese Tart,4,1,Kraft Natural Shredded Cheese,1,8,297,15 m,25 m,40 m,"['4 cups frozen shredded hash browns', '1 sweet onion, chopped', '1/2 teaspoon garlic powder', '1 (8 ounce) package KRAFT Shredded Three Cheese with a Touch of PHILADELPHIA, divided', '1/2 (14.1 ounce) package ready-to-use refrigerated pie crusts', '2 tablespoons finely chopped fresh chives ']","['Heat oven to 450 degrees F.', 'Combine potatoes, onions, garlic powder and 1 cup cheese.', 'Place crust on baking sheet; spread with potato mixture to within 1/2 inch of edge. Fold over edge of pastry to partially cover potato mixture.', 'Bake 20 to 25 min. or until crust is golden brown. Sprinkle with chives.', '']",,,,,,,,,,,
Wild Rice and Pepper Salad,4.6875,14,Jillian,17,4,147,20 m,,1 h 20 m,"['2 cups long grain and wild rice mix, cooked', '1/2 cup chopped red bell pepper', '1/2 cup chopped yellow bell pepper', '1/4 cup chopped green onion', '2 tablespoons lemon juice', '1 teaspoon grated lemon zest', '1/4 teaspoon salt', '1/4 teaspoon ground black pepper', '1/4 cup reduced-fat mayonnaise']","['Combine cooked rice, red bell pepper, yellow bell pepper, green onion, lemon juice, lemon zest, salt, and pepper in a bowl.', 'Stir the mayonnaise into the rice mixture.', 'Cover and refrigerate until cold, about 1 hour.', '']",,,,,,,,,,,
Lawry'sÂ® Garlic Oven Potatoes,4.199999809,4,LAWRY'SÂ®,4,6,158,10 m,45 m,55 m,"['2 pounds potatoes, cut into 1-inch pieces', '1 medium onion, chopped', '3 tablespoons olive oil', ""1 1/2 teaspoons Lawry'sÂ® Garlic Salt"", ""1/2 teaspoon Lawry'sÂ® Seasoned Pepper""]","['Preheat oven to 425 degrees F. Spray large baking pan with no stick cooking spray.', 'Mix all ingredients in large resealable plastic bag; turn to coat. Spread potatoes evenly in prepared baking pan.', 'Bake 45 minutes or until golden brown, stirring occasionally.', '']",,,,,,,,,,,
Lawry'sÂ® Balsamic Black and Blue Steak,4.5,1,LAWRY'SÂ®,1,4,403,5 m,16 m,51 m,"['2 (12 ounce) New York strip steaks, 1 inch thick', ""3/4 cup Lawry'sÂ® Balsamic Herb Marinade"", '6 tablespoons crumbled bleu cheese, divided']","['Cut a 4-inch wide pocket in each steak, being careful not to cut through back or sides of steak. Place steaks in large resealable plastic bag or glass dish. Add 1/2 cup of the marinade; turn to coat well.', 'Refrigerate 30 minutes or longer for extra flavor. Remove steaks from marinade. Discard any remaining marinade. Fill pocket of each steak with about 2 tablespoons of the blue cheese. Press steak lightly to seal closed.', 'Grill steaks over medium-high heat 6 to 8 minutes per side or until desired doneness, brushing with remaining 1/4 cup marinade. Sprinkle steaks with remaining 2 tablespoons blue cheese. Serve with tossed salad, if desired.', '']",,,,,,,,,,,
Lawry'sÂ® Balsamic Steak Salad with Blueberry Dressing,4.75,2,LAWRY'SÂ®,2,4,236,15 m,16 m,1 h 1 m,"['1 1/2 cups blueberries, divided', ""1/2 cup Lawry'sÂ® Balsamic Herb Marinade, divided"", '2 tablespoons packed light brown sugar', '2 tablespoons water', '1 tablespoon lemon juice', '1 pound skirt steak', '1 (5 ounce) package mixed salad greens', '1/2 cup crumbled feta cheese', '1/4 cup thinly sliced red onion']","['Place 3/4 cup of the blueberries, 2 tablespoons of the marinade, sugar, water and lemon juice in food processor. Cover. Process until smooth. Refrigerate dressing until ready to serve.', 'Place steak in large resealable plastic bag or glass dish. Add 1/4 cup of the remaining marinade; turn to coat well. Refrigerate 30 minutes or longer for extra flavor. Remove steak from marinade. Discard any remaining marinade.', 'Grill steak over medium-high heat 6 to 8 minutes per side or until desired doneness, brushing with remaining 2 tablespoons marinade. Cut steak into thin slices.', 'Divide salad greens evenly among 4 serving plates. Top each with steak slices. Sprinkle with remaining 3/4 cup blueberries, feta and onion. Serve with dressing.', '']",,,,,,,,,,,
Cherry Amish Friendship Bread Cupcakes with Buttercream Frosting,4,3,Friendship Bread Kitchen,4,24,366,20 m,20 m,1 h 10 m,"['1 cup Amish Friendship Bread Starter (see footnote for recipe link)', '3 eggs', '1 cup vegetable oil', '1/2 cup milk', '1 cup white sugar', '1/2 teaspoon vanilla extract', '1 1/2 teaspoons baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon salt', '2 cups all-purpose flour', '1 (3 ounce) package cherry Jell-OÂ®', '1/2 cup vegetable shortening', '1/2 cup butter, softened', '1 teaspoon vanilla extract', ""4 cups sifted confectioners' sugar"", '2 tablespoons milk', '1/2 cup white chocolate chips, or as needed (optional)']","['Preheat oven to 325 degrees F (165 degrees C). Line 24 cupcake cups with paper liners.', 'In a mixing bowl, stir together the Amish friendship bread starter, eggs, vegetable oil, 1/2 cup milk, sugar, 1/2 teaspoon of vanilla extract, baking powder, baking soda, and salt until thoroughly combined. Mix in the flour and cherry gelatin powder. Spoon the batter into the prepared cupcake cups.', 'Bake until a toothpick inserted into the center of a cupcake comes out clean, 20 to 25 minutes. Let cool.', ""In a large bowl, beat the vegetable shortening with butter with an electric mixer on medium speed until fluffy, and add the vanilla extract. Beat in confectioners' sugar, 1 cup at a time, stopping often to scrape down the sides of the bowl; mix in the milk, and beat until the frosting is light and fluffy. Spread on cooled cupcakes. Sprinkle each cupcake with a few white chocolate chips, if desired."", '']",,,,,,,,,,,
Grandma's Christmas Cupcakes,4.5,1,April's Kitchen,1,16,323,1 h,20 m,1 h 50 m,"['9 tablespoons butter, softened', '1 cup superfine sugar', '4 drops almond extract, or more to taste', '4 eggs', '1 cup self-rising flour', '1 3/4 cups ground almonds', 'round cookie or biscuit cutter', 'small holly leaf-shaped cutter', '1 pound ready-to-use white fondant, divided', ""1/4 cup confectioners' sugar, or as needed"", '2 drops green food coloring, or as desired', '1 drop red food coloring, or as needed']","['Preheat oven to 350 degrees F (175 degrees C). Line 16 muffin cups with paper liners.', 'Beat the butter, sugar, and almond extract in a mixing bowl with an electric mixer until light and fluffy. Beat in the eggs one at a time, mixing well after each addition, followed by the self-rising flour. Gently fold the ground almonds into the batter; spoon batter into the prepared cupcake cups, filling them about halfway.', 'Bake the cupcakes until they have risen and a toothpick inserted into the center of a cupcake comes out clean, about 20 minutes. Allow the cupcakes to cool completely.', ""To decorate, knead the fondant until pliable; set aside about 1/3 of the fondant. Roll out the larger portion of the fondant on a work surface dusted generously with confectioners' sugar. Using a round cookie or biscuit cutter the same size as the cupcake tops, cut out circles of the fondant; place a fondant circle on each cupcake. Press the fondant down lightly."", 'Divide the remaining fondant into four even portions; place 3 portions into a bowl and the other into a second small bowl. Tint the larger portion to your desired shade of green with the green food coloring. Tint the smaller portion to your desired shade of red food coloring.', ""Roll out the green fondant on a work surface generously dusted with confectioners' sugar and cut out 32 holly leaves with leaf-shaped cutter. Use your finger to rub away any white confectioners' sugar on the green leaves and arrange 2 leaves on each cupcake. Roll red fondant into 48 small red berries and place 3 berries on the leaves of each cupcake."", '']",,,,,,,,,,,
Linda's Fried Walnuts,4,2,Sharon Karohl Kang,2,24,188,10 m,45 m,1 h 25 m,"['6 cups shelled walnut halves', '1/2 cup white sugar, or as needed', '1 cup canola oil', '1 pinch salt to taste']","['Bring a pot of water to a boil, and stir in half the walnuts; reduce heat to medium, and boil for 1 minute. Remove nuts with a slotted spoon, and let drain in a colander set in the sink. Repeat with remaining walnuts. Rinse the walnuts under hot water, and transfer to a mixing bowl. Toss the walnuts with the sugar.', 'In an electric skillet with heat set to 350 degrees F (175 degrees C), heat the canola oil. With a metal slotted spoon, place enough nuts to cover the bottom of the skillet; the oil will sizzle and pop, so be careful to avoid spatters. Gently stir the nuts with the spoon. Fry the walnuts until golden brown, about 5 minutes per batch. Transfer the walnuts in clumps to a baking sheet.', 'Sprinkle the nuts with salt, and let cool. Store in airtight container.', '']",,,,,,,,,,,
Dad's Spaghetti Sauce with Coffee,3,2,Busitj,4,10,246,30 m,1 h 15 m,1 h 45 m,"['3 tablespoons extra virgin olive oil', '4 cloves garlic, slivered', '2 large onions, sliced', '1 large green bell pepper, sliced', '2 tablespoons extra-virgin olive oil', '1 1/2 pounds extra lean ground beef', '2 (4 ounce) cans button mushrooms, drained', '1 (16 ounce) jar spaghetti sauce with garlic', '3 (8 ounce) cans tomato sauce', '1 (6 ounce) can tomato paste, or to taste (optional)', '1 tablespoon instant coffee granules', '1 cup hot water']","['Place 3 tablespoons of olive oil into a saucepan over medium heat, and cook the garlic in the oil for 1 minute. Stir in the onions, and cook until translucent, about 5 more minutes. Stir in the green bell pepper, and cook until the pepper begins to become tender, about 5 more minutes. Set the vegetables aside.', 'Place 2 tablespoons of olive oil into a large saucepan over medium heat, and cook and stir the ground beef until the meat is no longer pink, about 10 minutes. Break the meat up into crumbles as it cooks. Mix in the mushrooms, spaghetti sauce, tomato sauce, tomato paste (if you prefer a thicker sauce), and vegetables. Bring the sauce to a boil, and reduce heat to a simmer. Cook, stirring occasionally, until the flavors have blended, about 30 minutes.', 'Mix the coffee granules into the hot water, and pour into the sauce; simmer for 30 more minutes.', '']",,,,,,,,,,,
Dad's Home With the Kids Slow-Cooker Roast,3.555555582,6,Kookie,10,8,648,10 m,5 h 40 m,5 h 50 m,"['1 (14 ounce) can beef broth', '1/2 cup soy sauce', '1/2 cup olive oil', '1/3 cup lemon juice', '5 tablespoons Worcestershire sauce', '2 teaspoons minced garlic', '2 tablespoons garlic powder, preferably roasted', '2 tablespoons dried basil', '2 tablespoons dried parsley', '1 tablespoon ground black pepper', '1 tablespoon vegetable oil', '1 (5 pound) beef chuck roast, patted dry with paper towels', '1 cup baby carrots', '1 cup uncooked elbow macaroni']","['In a blender, pour the beef broth, soy sauce, olive oil, lemon juice, and Worcestershire sauce; add garlic, garlic powder, basil, parsley, and black pepper. Cover blender, and pulse a few times, then blend thoroughly, about 20 seconds.', 'In a large skillet over medium-high heat, heat the vegetable oil until tiny wisps of smoke rise, then brown the roast on all sides, 2 to 3 minutes per side. Place the roast into a slow cooker. Pour the beef broth mixture from the blender over the roast, set the cooker to Medium, and cover.', 'Cook until very tender, 5 to 6 hours; add the carrots, recover the cooker, and cook for 10 more minutes; then mix in the macaroni. Cover the cooker, and simmer until macaroni and carrots are tender, about 20 more minutes. Slice beef, and serve with macaroni, carrots, and sauce.', '']",,,,,,,,,,,
Breakfast Quesadilla,4.5,9,Bob EvansÂ®,9,6,374,10 m,10 m,20 m,"['1/2 cup Bob EvansÂ® Maple Roll Sausage', '2 (10 inch) flour tortillas', '2 cups Monterey Jack cheese, shredded', '2 large eggs, scrambled', '1/4 cup green onions, diced', '1/4 cup tomatoes, diced', 'guacamole', 'sour cream', 'salsa']","['Crumble and cook sausage until brown; drain and set aside. Place one flour tortilla in heated 12-inch skillet. Evenly sprinkle cheese over the top of tortilla; place scrambled eggs on top of cheese on one tortilla. Evenly distribute the cooked sausage over the eggs. Allow cheese to melt. Top with diced tomatoes and green onions. Place second flour tortilla on top. Remove from skillet; cut into six equal wedges. Serve with guacamole, sour cream and salsa. Refrigerate leftovers.', '']",,,,,,,,,,,
Cheddar Sausage Bake,4.333333492,6,Bob EvansÂ®,6,6,454,15 m,45 m,1 h,"['1 pound Bob EvansÂ® Original Sausage Roll', '1 (20 ounce) package Bob EvansÂ® Seasoned Hash Browns Shredded Potatoes', '1 (14 ounce) bag frozen broccoli cuts', '1 (10.75 ounce) can  Cheddar cheese soup', '1/2 cup milk', '1/2 cup grated Cheddar cheese']","['Preheat oven to 400 F.  In skillet crumble and cook sausage over medium heat until browned.  In greased 9x13 baking dish place potatoes.  Top with cooked sausage, then broccoli.  In small bowl, combine soup and milk.  Spoon over broccoli.  Top with grated cheese.  Cover and bake for 40-45 minutes or until hot.', '']",,,,,,,,,,,
Hand Held Hashbrown Casseroles,4.291666508,19,Bob EvansÂ®,23,24,139,10 m,30 m,40 m,"['1 pound Bob EvansÂ® Original Sausage \x96 cooked and crumbled', '1 (20 ounce) package Bob EvansÂ® Hash Brown Potatoes', '4 eggs', '1/2 cup milk', '3 tablespoons melted butter', '1 cup cubed ham', '1/2 teaspoon black pepper', '1/2 cup diced bell peppers', '1 cup shredded Cheddar cheese']","['Preheat oven to 350 degrees F. Lightly grease a twelve cup muffin tin. In a bowl whisk together eggs and milk. Add all remaining ingredients and mix thoroughly. Fill muffin tins 2/3 full. Bake at 350 degrees F for 27-30 minutes or until a toothpick or knife inserted in the center comes out clean.', '']",,,,,,,,,,,
Mexican Sausage Pizza,3,1,Bob EvansÂ®,1,4,1064,20 m,10 m,30 m,"['1 pound Bob EvansÂ® Original Roll Sausage (can use Hot)', '3 cups baking mix', '2 cups grated Cheddar cheese', '1 (15 ounce) can refried beans', '1/2 cup chopped onion', '1 cup diced tomato', '1/2 cup minced cilantro', '2 cups shredded Mexican blend cheese', 'Sour cream (optional)', 'Salsa (optional)']","['Preheat oven to 350 F.', 'In medium skillet over medium heat crumble and cook sausage until brown.  Cool.  In large bowl, combine baking mix, cheddar cheese and cooked sausage.  Stir in 5 or 6 Tbsp. water to form a dough.  Pat out into a thin layer on a large baking sheet or pizza pan. Bake for 10 minutes or until light brown.', 'Spread crust with refried beans. Top with onions, tomato, cilantro and Mexican cheese. Bake for an additional 10 to 15 minutes or until cheese is melted.', '']",,,,,,,,,,,
Sausage Corn Bread Bake,3.5,2,Bob EvansÂ®,2,6,581,15 m,1 h,1 h 15 m,"['1 pound Bob EvansÂ® Original Recipe Sausage Roll', '1 (20 ounce) package Bob EvansÂ® Seasoned Hash Browns', '1 (8.5 ounce) box corn muffin mix', '2/3 cup milk', '1 egg', '2 (15 ounce) cans creamed style corn', '1/3 cup chopped onions', '1 cup frozen peas', '1 medium red pepper, diced', '1/3 cup milk']","['Preheat oven to 375 F.', 'In small bowl, combine corn muffin mix, 2/3 cup milk and egg.  Set aside.  In medium skillet over medium heat, crumble and cook sausage until brown. Stir in corn, onions, peas and red pepper. Set aside.  Press potatoes into a greased 9x 13 inch baking dish.  Pour 1/3 cup milk over potatoes.  Pour sausage mixture over potatoes and top with corn muffin mixture.', 'Cover and bake 45 minutes.  Uncover and bake an additional 15 to 20 minutes or until top is golden brown.', '']",,,,,,,,,,,
Smoked Sausage Pizza,0,0,Bob EvansÂ®,0,4,741,15 m,10 m,25 m,"['1 pound Bob EvansÂ® Italian Roll Sausage', '1 (14 ounce) package pre-made pizza crust', '1 red pepper, cut into strips', '1 small red onion, thinly sliced', '1 tablespoon liquid smoke', '1/4 cup pesto', '1/4 cup peach preserves', '1 cup shredded smoked Gouda cheese']","['Preheat oven to 425 F.  Place pizza crust onto baking sheet.', 'In large skillet over medium heat, crumble and cook sausage until browned.  Add red pepper and onion and cook until softened.  Stir in liquid smoke.  Drain on paper towels.  Spread pesto on pizza crust.  Top with sausage mixture.  Heat peach preserves in microwave safe bowl for 30 seconds and drizzle over pizza.  Top with cheese.  Bake for 10 to 12 minutes or until cheese is melted.', '']",,,,,,,,,,,
Zucchini Casserole from Bob EvansÂ®,4,5,Bob EvansÂ®,5,6,425,20 m,25 m,45 m,"['1 pound Bob EvansÂ® Savory Sage Roll Sausage', '4 small zucchini, cut into 1/2-inch slices', '1 onion, diced', '1 green pepper, diced', '4 ounces sliced mushrooms', '1/4 teaspoon pepper', '1 (14 ounce) can crushed tomatoes', '8 ounces sliced provolone cheese']","['Preheat oven to 350 F.  In large skillet over medium heat, crumble and cook sausage until cooked.  Set aside.  In same skillet saute zucchini, onion, green pepper and mushrooms until crisp-tender.  Combine vegetables with sausage.  Stir in pepper.  In 9 square baking dish place sausage mixture.  Top with tomatoes.  Lay sliced provolone over tomatoes.  Bake for 25 to 35 minutes or until hot.', '']",,,,,,,,,,,
Wacky Mac'sÂ® Pasta e Fagioli,0,0,Wacky MacÂ®,0,6,252,10 m,30 m,40 m,"['1 tablespoon olive oil', '1 celery rib, chopped', '1 garlic clove, minced', '1 medium onion, chopped', '1 large carrot, grated', '8 ounces ground round', '2 tablespoons tomato paste', '1 (14.5 ounce) can fire-roasted crushed tomatoes', '1/2 teaspoon dried, crushed oregano', '1/2 teaspoon smoked paprika (see note)', '3/4 cup canned kidney beans', '3/4 cup canned Great Northern beans', '1/2 teaspoon salt', '1/4 teaspoon pepper', '3 cups reduced-sodium beef broth', '1 1/2 cups cooked Wacky MacÂ®']","['Heat oil in a Dutch oven over medium heat. Add celery, garlic, onion and carrot. Cook, stirring frequently for 5 minutes. Add ground round and brown, breaking up with spoon. Stir in tomato paste, crushed tomatoes, oregano, paprika, kidney beans, Great Northern beans, salt and pepper. Add broth and bring to a boil. Reduce heat to low and simmer for 20 minutes, stirring frequently, or until vegetables are tender. Stir in Wacky Mac and heat through.', '']",,,,,,,,,,,
Wacky MacÂ® Five-Ingredient Skillet Sausage Dinner,0,0,Wacky MacÂ®,0,4,321,10 m,10 m,20 m,"['1 tablespoon olive oil', '1 medium red onion, thinly sliced', '2 cups sliced mushrooms, preferably baby bella', '1 (12 ounce) package cooked chicken and apple sausage, sliced 1/4-inch thick (see note)', '3/8 teaspoon salt', '1/4 teaspoon pepper', '2 cups Wacky MacÂ®, cooked according to package directions']","['Heat oil in 12-inch nonstick skillet over medium heat. Add onion and mushrooms and cook for 5 to 7 minutes or until onion is lightly browned. Add sausage slices, salt and pepper. Cook for 3 to 5 minutes to brown, stirring frequently. Stir in Wacky Mac and serve immediately.', '']",,,,,,,,,,,
Grilled Chicken Kabobs over Lemon-Scented Wacky MacÂ®,4,1,Wacky MacÂ®,1,8,294,15 m,30 m,1 h 45 m,"['Grilled Chicken Kabobs:', '1 1/2 pounds skinless, boneless chicken breast halves, cut into chunks*', '12 baby bella mushrooms (brown mushrooms, about the size of quarters)', '6 tablespoons reduced-fat Italian salad dressing, divided', 'Lemon-Scented Wacky Mac:', '1 (12 ounce) package Wacky MacÂ®', '2 teaspoons olive oil', '2 large garlic cloves, minced', '2 teaspoons lemon zest (outer yellow part only)', '4 teaspoons lemon juice', '1 cup frozen green peas, thawed', '1 cup reduced-sodium chicken broth', '1/2 cup finely chopped scallions (green parts only)', '3/4 teaspoon salt', '1/4 teaspoon pepper', '1 cup yellow and red cherry and/or grape tomatoes, halved']","['To make chicken kabobs, place chicken chunks in large glass bowl. Halve mushrooms lengthwise and combine with chicken. Add 5 tablespoons salad dressing. Stir gently but well. Cover and refrigerate 1 to 2 hours, stirring once or twice.', ""Thread 8 skewers, alternating 3 chicken chunks and 2 mushroom halves (If using wooden skewers soak in cold water for 30 minutes before using). Place kabobs on heated grill. Grill for 5 minutes or until bottom side of chicken is golden brown. Brush kabobs with remaining 1 tablespoon salad dressing. Turn over and grill for 3 to 5 minutes or until chicken is well browned and cooked through. Cooking time will vary. To test, cut into a chicken chunk to make sure it's not raw in the center."", 'To make Lemon-Scented Wacky Mac, prepare Wacky Mac according to directions. Meanwhile, heat oil in small skillet. Add garlic and cook over medium heat for 3 to 5 minutes or until garlic is tender, but not browned.', 'Drain Wacky Mac and return to pot it was cooked in. Stir in garlic and any remaining oil. Add lemon rind, lemon juice and peas. Add broth. Simmer for 5 minutes to heat through. Stir in scallions, salt and pepper. Add tomatoes and toss gently to mix in.', '']",,,,,,,,,,,
Wacky MacÂ® Greek-Style Shrimp Skillet Dinner,4.800000191,4,Wacky MacÂ®,4,6,370,10 m,25 m,35 m,"['2 teaspoons olive oil', '1 clove garlic clove, minced', '1 medium onion, thinly sliced', '1 pound large raw shrimp, peeled', '2 large tomatoes, cored and chopped', '1 teaspoon dried crushed oregano', '1/2 teaspoon salt', '1/4 teaspoon pepper', '3 teaspoons lemon zest (outer yellow part only)', '1 (12 ounce) package Wacky MacÂ®', '2 teaspoons lemon juice', '1 cup reduced-fat feta cheese', 'Lemon wedges (optional)']","['Heat oil in large nonstick skillet. Add garlic and onion. Cook over medium heat 5 minutes. Add shrimp. Cook for 2 minutes, stirring frequently. Add tomatoes, oregano, salt, pepper and lemon rind. Simmer for 5 minutes or until tomatoes are pulpy and shrimp is completely cooked.', 'Meanwhile, cook Wacky Mac according to package directions. Drain. Stir Wacky Mac into shrimp mixture. Stir in lemon juice and feta cheese. Stir gently but well. Serve garnished with lemon wedges if desired.', '']",,,,,,,,,,,
Bacon Gouda Patties,4.583333492,7,mommyluvs2cook,9,2,853,15 m,20 m,35 m,"['2 slices bacon', '3/4 cup shredded Gouda cheese', '1 tablespoon chopped fresh parsley', '1 1/2 tablespoons Dijon mustard', '1 pound ground beef', '1/4 cup bread crumbs', '1 egg', '3 cloves garlic, chopped', '1/2 teaspoon garlic powder', 'salt and ground black pepper to taste', '2 hamburger buns, split and toasted']","['Place the bacon in a large, deep skillet, and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain the bacon slices on a paper towel-lined plate. Cool and crumble into a bowl. Stir in the gouda cheese, parsley, and Dijon mustard. Set filling aside.', 'Place the ground beef into a mixing bowl with the bread crumbs, egg, chopped garlic, and garlic powder. Season to taste with salt and black pepper. Mix until evenly blended, and form into 4 very thin patties.', 'Preheat an outdoor grill for medium-high heat, and lightly oil the grate.', 'Divide the filling in half and spread each half onto a patty. Top filling with remaining patties to make 2 stuffed burgers. Press and seal edges tightly together to keep the filling enclosed.', 'Cook stuffed burgers on the preheated grill until the patties are cooked to your desired degree of doneness and the cheese has melted, 3 to 5 minutes per side for well done. An instant-read thermometer inserted into the center should read 160 degrees F (70 degrees C). Serve on toasted hamburger buns.', '']",,,,,,,,,,,
"Wacky MacÂ®, Chicken and Greens Salad",0,0,Wacky MacÂ®,0,2,1400,10 m,,10 m,"['2 (12 ounce) packages cooked Wacky MacÂ® Veggie Shapes, rinsed under cold water, drained well', '1 (6 ounce) package grilled chicken strips', '2 cups baby arugula or mixed baby greens or combination of the two', '1/4 cup shredded Parmesan cheese', '1/4 cup reduced-fat vinaigrette dressing', '1/2 teaspoon crushed, dried oregano', '1/4 teaspoon pepper']","['Place Wacky Mac in a large salad bowl. Add chicken, arugula and cheese. Stir together vinaigrette dressing, oregano and pepper in a cup. Pour over salad. Toss gently but well.', '']",,,,,,,,,,,
Wacky MacÂ® Pizza Skillet Dinner,5,0,Wacky MacÂ®,0,4,376,15 m,15 m,30 m,"['1 tablespoon olive oil', '1 small onion, quartered lengthwise, thinly sliced widthwise', '1 large garlic clove, minced', '1 cup sliced mushrooms', '12 ounces cooked chicken-based mild Italian sausage, sliced 1/4-inch thick', '1/2 teaspoon crushed dried oregano', '1/2 teaspoon crushed red pepper flakes or to taste', '3 medium plum tomatoes, cored and diced', '1/4 cup dry white wine or chicken broth', '1/4 teaspoon salt or to taste', '1/4 teaspoon pepper', '2 cups Wacky MacÂ® (prefer Veggie Spirals), cooked according to package directions, well drained', '1/2 cup thinly sliced baby fresh mozzarella balls (see note)']","['Heat oil in very large nonstick skillet over medium heat. Add onion, garlic and mushrooms. Cook for 7 to 10 minutes, stirring frequently, or until vegetables are tender. Stir in sausage, oregano and red pepper flakes. Brown sausage for 2 to 3 minutes, stirring occasionally. Add tomatoes and wine. Cook over medium-high heat for 2 minutes, or until tomatoes are pulpy, stirring frequently. Season with salt and pepper. Stir in Wacky Mac and heat through over medium heat. Scatter mozzarella on top. Heat through for 1 to 2 minutes.', '']",,,,,,,,,,,
Wacky Spring Salad with Tuna,0,0,Wacky MacÂ®,0,6,399,15 m,10 m,25 m,"['1 (12 ounce) package Wacky MacÂ®', '1 (6 ounce) can tuna, drained', '1 tomato, diced', '4 ounces cojack cheese, cubed', '1 small cucumber, sliced', '3/4 cup Italian dressing, or more to taste']","['Cook Wacky Mac according to package directions; drain; rinse under cold water and set aside. In the mean time, combine remaining ingredients in a bowl. Add Wacky Mac and toss. For a zestier flavor, add more Italian dressing.', '']",,,,,,,,,,,
Banana-Peanut Butter Smoothies,4.480000019,17,JifÂ®,17,2,342,10 m,,10 m,"['1/2 cup milk', '1 small ripe banana', '1/4 cup JifÂ® Natural Creamy Peanut Butter Spread', '2 tablespoons honey', '6 ice cubes', 'Whipped cream (optional)', 'Chocolate sprinkles (optional)']","['Combine milk, banana, peanut butter, honey and ice cubes in blender container. Cover and process until smooth.', 'Pour into serving glasses. Add whipped cream and sprinkles, if desired. Serve immediately.', '']",,,,,,,,,,,
Peanut Butter Banana Flax Seed Muffins,4.681818008,22,JifÂ®,22,12,315,15 m,20 m,45 m,"['CriscoÂ® Original No-Stick Cooking Spray', '1 cup Pillsbury BESTÂ® All Purpose Flour', '3/4 cup sugar', '1 cup JIFÂ® Omega-3 Creamy Peanut Butter', '3/4 cup chopped walnuts', '2 tablespoons milled flax seed', '1 teaspoon baking powder', '1/4 teaspoon salt', '1/3 cup soy milk or milk', '1 cup mashed ripe bananas', '1 large egg', '2/3 cup chopped dates']","['Heat oven to 375 degrees F. Coat 12 muffin cups with no-stick cooking spray.', 'Combine flour, sugar and peanut butter in large bowl with a fork until even crumbs form. Stir in walnuts. Reserve 1 cup for topping.', 'Add flax seed, baking powder and salt to flour mixture. Stir in milk, bananas and egg until evenly moistened. Stir in dates. Divide evenly in muffin cups using a heaping 1/4 cup batter each. Sprinkle reserved crumb mixture on top.', 'Bake 28 to 30 minutes or until toothpick inserted in center comes out clean. Cool 10 minutes before removing from pan.', '']",,,,,,,,,,,
